Language,Country,Word,Native speakers
AFRIKAANS,South Africa,Liefde,7211537
ALBANIAN,"Albania, Kosovo, Macedonia",dashuri,7500000
AMHARIC,Ethiopia,ፍቅር,32000000
ARABIC,"Maghreb, Near East",الحب,312000000
ARMENIAN,"Armenia, Armenian Highlands",Սեր,6700000
AZERBAIJANI,"Azerbaijan, Russia (Dagestan), Iran",Sevgi,
BASQUE,"Spain, France",Maitasun,
BELARUSIAN,Belarus,Каханне,
BENGALI,"Bangladesh, India",ভালোবাসা,
BOSNIAN,"Bosnia and Herzegovina, Serbia, Montenegro, Kosovo",Ljubav,
BULGARIAN,"Bulgaria, Turkey, Romania",Любов,
CATALAN,"Spain (Catalonia, Balearic Islands, Valencia), Andorra",Amor,
CEBUANO,,gugma,
CHICHEWA,,chikondi,
CHINESE (MANDARIN),"China, Taiwan, Singapore",愛,
CORSICAN,"France (Corse), Italy (Sardiania)",Amore,
CROATIAN,"Croatia, Bosnia and Herzegovina",Ljubav,
CZECH,Czech Republic,Láska,
DANISH,"Denmark, Germany (Southern Schleswig), Greenland, Faroe Islands",Kærlighed,
DUTCH,"Netherlands, Belgium, Suriname",Liefde,
ESPERANTO,[constructed language],Amo,
ESTONIAN,Estonia,Armastus,
ENGLISH, ,Love,
FINNISH,"Finland, Sweden",Rakkaus,
FRENCH,"France, Canada (Quebec), Belgium (Wallonia), Switzerland (Romandie), Monaco, Luxembourg",Amour,
FRISIAN (WEST),Netherlands (Friesland),Leafde,
GALICIAN,Spain (Galicia),Amor,
GEORGIAN,Georgia,სიყვარული,
GERMAN,"Germany, Austria, Switzerland, Italy (South Tyrol), Belgium, Liechtenstein, Luxembourg",Liebe,
GREEK,"Greece, Cyprus",Αγάπη,
GUJARATI,India (Gujarat),પ્રેમ,
HEBREW,Israel,אהבה,
HINDI,India,प्यार,
HUNGARIAN,"Hungary, Romania, Slovakia, Serbia",Szeretet,
ICELANDIC,Iceland,Ást,
IGBO,"Nigeria, Equatorial Guinea",Ihunanya,
ILOCANO,Philippines,Ayat,
INDONESIAN,Indonesia,Cinta,
INUKTITUT,Canada,ᑕᑯᑦᓱᒍᓱᑉᐳᖅ,
ITALIAN,"Italy, San Marino, Switzerland",Amore,
JAPANESE,Japan,愛,
JAVANESE,Indonesia (Java),Tresna,
KABYLE,Algeria (Kabylie),Tayri,
KANNADA,India (Karnakata),ಪ್ರೀತಿ,
KAZAKH,Kazakhstan,Махаббат,
KIKONGO,"Democratic Republic of the Congo, the Republic of the Congo, Angola",zola,
KINYARWANDA,Rwanda,urukundo,
KIRUNDI,Burundi,urukundo,
KOREAN,"Korea, North Korea",사랑,
KYRGYZ,Kyrgyzstan,Сүйүү,
LARI,Republic of the Congo,luzolo,
LATIN,Roman Kingdom - extinct,Amor,
LATVIAN,Latvia,Mīlestība,
LIGURIAN,Italy (Liguria),Amô,
LINGALA,"Democratic Republic of the Congo, Republic of the Congo, Angola, Central African Republic",Bolingo,
LITHUANIAN,Lithuania,Meilė,
LUXEMBOURGISH,Luxembourg,Léift,
MACEDONIAN,Macedonia,Љубов,
MALAGASY,Madagascar,Fitiavana,
MALAY,"Malaysia, Brunei, Singapore",Cinta,
MALAYALAM,India (Kerala),സ്നേഹം,
MALTESE,Malta,Imħabba,
MARATHI,"India (Maharashtra, Goa)",प्रेम,
MBERE,"Republic of the Congo, Gabon",dia,
MONGOLIAN,Mongolia,Хайр,
NAHUATL,Mexico,Tlazohtiliztli,
NEPALI,"Nepal, India, Bhutan, Myanmar",माया,
NEWARI,Nepal,मतिना,
NORWEGIAN (BOKMÅL),Norway,Kjærlighet,
NORWEGIAN (NYNORSK),Norway,Kjærleik,
OCCITAN,"France, Spain, Italy, Monaco",Amor,
OLD ENGLISH,"England, Scotland - extinct",Lufu,
OLD NORSE,Scandinavia - extinct,ást,
ORIYA,India (Odisha),ପ୍ରେମ,
PERSIAN (FARSI),Iran,عشق,
PIEDMONTESE,Italy (Piedmont),Amor,
POLISH,"Poland, Lithuania, Belarus, Ukraine, Czech Republic, Slovakia",Miłość,
PORTUGUESE,"Portugal, Brazil, Cape Verde, Guinea-Bissau, Mozambique, Angola, São Tomé and Príncipe",Amor,
PUNJABI,"Pakistan, India (Punjab)",ਪਿਆਰ,
PUNJABI (WESTERN),Pakistan (Western Punjab),پیار,
QUECHUA,"Peru, Colombia, Ecuador, Bolivia, Argentina",Khuyay,
ROMANIAN,"Romania, Moldova, Serbia, Ukraine",Dragoste,
RUSSIAN,"Russia, Belarus, Estonia, Latvia, Lithuania, Ukraine, Moldova, Armenia, Azerbaijan, Georgia, Central Asia",Любовь,
RUSYN,"Ukraine, Slovakia, Serbia, Poland",Любов,
SAMOGITIAN,Lithuania (Samogitia),Meilė,
SANSKRIT,India - extinct,प्रेम,
SCOTTISH GAELIC,UK (Scotland),Gràdh,
SERBIAN,"Serbia, Bosnia and Herzegovina, Croatia, Montenegro",Љубав,
SERBO-CROATIAN,"Serbia, Bosnia and Herzegovina, Croatia, Montenegro",Ljubav,
SICILIAN,Italy (Sicily),Amuri,
SINHALESE,Sri Lanka,ආදරය,
SLOVAK,Slovakia,Láska,
SLOVENE,"Slovenia, Italy, Austria, Croatia, Hungary, Serbia",Ljubezen,
SOMALI,"Somalia, Ethiopia, Djibouti, Kenya",Jaceyl,
SORANI KURDISH,"Iraq, Iran",خۆشەویستی,
SPANISH,"Spain, Hispanic America, Equatorial Guinea",Amor,
SWAHILI,"Tanzania, Democratic Republic of the Congo, Kenya, Uganda",Pendo,
SWEDISH,"Sweden, Finland",Kärlek,
TAGALOG,Philippines,Pag-ibig,
TAJIK,"Tajikistan, Uzbekistan",Ишқ,
TAMIL,"India, Sri Lanka",காதல்,
TATAR,Russia (Tatarstan),Сөю,
TELUGU,"India (Andhra Pradesh, Telangana)",ప్రేమ,
THAI,Thailand,ความรัก,
TIBETAN,"China (Tibet), Nepal",བརྩེ་དུང་།,
TSHILUBA,Democratic Republic of the Congo,Dinanga,
TURKISH,"Turkey, Cyprus, Greece",Aşk,
UKRAINIAN,Ukraine,Кохання,
URDU,"Pakistan, India",محبت,
UYGHUR,China (Xinjiang),مۇھاببەت,
UZBEK,"Uzbekistan, Afghanistan",Sevgi,
VIETNAMESE,Vietnam,Tình yêu,
WALLOON,Belgium,Amour,
WARAY,Philippines,Higugma,
WELSH,UK (Wales),Cariad,
WOLOF,"Senegal, Gambia, Mauritania",Mbeuguel,
YAKUT,Russia (Sakha Republic),Таптал,
YIDDISH,"Central, Eastern and Western Europe, Israel, North America",ליבע,
YORUBA,"Nigeria, Benin",ifê,
